u,x1,x2,x3
-1,0.823,-0.213664,3.94737
-1,0.822,-0.212842,3.94715
-1,0.821,-0.21202,3.94694
-1,0.82,-0.2112,3.94673
-1,0.819,-0.21038,3.94652
-1,0.818,-0.209562,3.94631
-1,0.817,-0.208744,3.9461
-1,0.816,-0.207928,3.94589
-1,0.815,-0.207112,3.94568
-1,0.814,-0.206298,3.94548
-1,0.813,-0.205484,3.94527
-1,0.812,-0.204672,3.94506
-1,0.811,-0.20386,3.94486
-1,0.81,-0.20305,3.94466
-1,0.809,-0.20224,3.94445
-1,0.808,-0.201432,3.94425
-1,0.807,-0.200624,3.94405
-1,0.806,-0.199818,3.94385
-1,0.805,-0.199012,3.94365
-1,0.804,-0.198208,3.94345
-1,0.803,-0.197404,3.94326
-1,0.802,-0.196602,3.94306
-1,0.801,-0.1958,3.94286
-1,0.8,-0.195,3.94267
-1,0.799,-0.1942,3.94247
-1,0.798,-0.193402,3.94228
-1,0.797,-0.192604,3.94209
-1,0.796,-0.191808,3.94189
-1,0.795,-0.191012,3.9417
-1,0.794,-0.190218,3.94151
-1,0.793,-0.189424,3.94132
-1,0.792,-0.188632,3.94113
-1,0.791,-0.18784,3.94094
-1,0.79,-0.18705,3.94076
-1,0.789,-0.18626,3.94057
-1,0.788,-0.185472,3.94038
-1,0.787,-0.184684,3.9402
-1,0.786,-0.183898,3.94001
-1,0.785,-0.183112,3.93983
-1,0.784,-0.182328,3.93965
-1,0.783,-0.181544,3.93947
-1,0.782,-0.180762,3.93929
-1,0.781,-0.17998,3.9391
-1,0.78,-0.1792,3.93893
-1,0.779,-0.17842,3.93875
-1,0.778,-0.177642,3.93857
-1,0.777,-0.176864,3.93839
-1,0.776,-0.176088,3.93821
-1,0.775,-0.175312,3.93804
-1,0.774,-0.174538,3.93786
-1,0.773,-0.173764,3.93769
-1,0.772,-0.172992,3.93752
-1,0.771,-0.17222,3.93734
-1,0.77,-0.17145,3.93717
-1,0.769,-0.17068,3.937
-1,0.768,-0.169912,3.93683
-1,0.767,-0.169144,3.93666
-1,0.766,-0.168378,3.93649
-1,0.765,-0.167612,3.93632
-1,0.764,-0.166848,3.93616
-1,0.763,-0.166084,3.93599
-1,0.762,-0.165322,3.93583
-1,0.761,-0.16456,3.93566
-1,0.76,-0.1638,3.9355
-1,0.759,-0.16304,3.93533
-1,0.758,-0.162282,3.93517
-1,0.757,-0.161524,3.93501
-1,0.756,-0.160768,3.93485
-1,0.755,-0.160012,3.93469
-1,0.754,-0.159258,3.93453
-1,0.753,-0.158504,3.93437
-1,0.752,-0.157752,3.93421
-1,0.751,-0.157,3.93405
-1,0.75,-0.15625,3.9339
-1,0.749,-0.1555,3.93374
-1,0.748,-0.154752,3.93358
-1,0.747,-0.154004,3.93343
-1,0.746,-0.153258,3.93328
-1,0.745,-0.152512,3.93312
-1,0.744,-0.151768,3.93297
-1,0.743,-0.151024,3.93282
-1,0.742,-0.150282,3.93267
-1,0.741,-0.14954,3.93252
-1,0.74,-0.1488,3.93237
-1,0.739,-0.14806,3.93222
-1,0.738,-0.147322,3.93207
-1,0.737,-0.146584,3.93193
-1,0.736,-0.145848,3.93178
-1,0.735,-0.145112,3.93164
-1,0.734,-0.144378,3.93149
-1,0.733,-0.143644,3.93135
-1,0.732,-0.142912,3.9312
-1,0.731,-0.14218,3.93106
-1,0.73,-0.14145,3.93092
-1,0.729,-0.14072,3.93078
-1,0.728,-0.139992,3.93064
-1,0.727,-0.139264,3.9305
-1,0.726,-0.138538,3.93036
-1,0.725,-0.137812,3.93022
-1,0.724,-0.137088,3.93008
-1,0.723,-0.136364,3.92995
-1,0.722,-0.135642,3.92981
-1,0.721,-0.13492,3.92968
-1,0.72,-0.1342,3.92954
-1,0.719,-0.13348,3.92941
-1,0.718,-0.132762,3.92927
-1,0.717,-0.132044,3.92914
-1,0.716,-0.131328,3.92901
-1,0.715,-0.130612,3.92888
-1,0.714,-0.129898,3.92875
-1,0.713,-0.129184,3.92862
-1,0.712,-0.128472,3.92849
-1,0.711,-0.12776,3.92836
-1,0.71,-0.12705,3.92824
-1,0.709,-0.12634,3.92811
-1,0.708,-0.125632,3.92798
-1,0.707,-0.124924,3.92786
-1,0.706,-0.124218,3.92773
-1,0.705,-0.123512,3.92761
-1,0.704,-0.122808,3.92749
-1,0.703,-0.122104,3.92736
-1,0.702,-0.121402,3.92724
-1,0.701,-0.1207,3.92712
-1,0.7,-0.12,3.927
-1,0.699,-0.1193,3.92688
-1,0.698,-0.118602,3.92676
-1,0.697,-0.117904,3.92664
-1,0.696,-0.117208,3.92653
-1,0.695,-0.116512,3.92641
-1,0.694,-0.115818,3.92629
-1,0.693,-0.115124,3.92618
-1,0.692,-0.114432,3.92606
-1,0.691,-0.11374,3.92595
-1,0.69,-0.11305,3.92583
-1,0.689,-0.11236,3.92572
-1,0.688,-0.111672,3.92561
-1,0.687,-0.110984,3.9255
-1,0.686,-0.110298,3.92539
-1,0.685,-0.109612,3.92528
-1,0.684,-0.108928,3.92517
-1,0.683,-0.108244,3.92506
-1,0.682,-0.107562,3.92495
-1,0.681,-0.10688,3.92485
-1,0.68,-0.1062,3.92474
-1,0.679,-0.10552,3.92463
-1,0.678,-0.104842,3.92453
-1,0.677,-0.104164,3.92442
-1,0.676,-0.103488,3.92432
-1,0.675,-0.102812,3.92422
-1,0.674,-0.102138,3.92411
-1,0.673,-0.101464,3.92401
-1,0.672,-0.100792,3.92391
-1,0.671,-0.10012,3.92381
-1,0.67,-0.09945,3.92371
-1,0.669,-0.0987805,3.92361
-1,0.668,-0.098112,3.92351
-1,0.667,-0.0974445,3.92342
-1,0.666,-0.096778,3.92332
-1,0.665,-0.0961125,3.92322
-1,0.664,-0.095448,3.92313
-1,0.663,-0.0947845,3.92303
-1,0.662,-0.094122,3.92294
-1,0.661,-0.0934605,3.92284
-1,0.66,-0.0928,3.92275
-1,0.659,-0.0921405,3.92266
-1,0.658,-0.091482,3.92257
-1,0.657,-0.0908245,3.92247
-1,0.656,-0.090168,3.92238
-1,0.655,-0.0895125,3.92229
-1,0.654,-0.088858,3.9222
-1,0.653,-0.0882045,3.92212
-1,0.652,-0.087552,3.92203
-1,0.651,-0.0869005,3.92194
-1,0.65,-0.08625,3.92185
-1,0.649,-0.0856005,3.92177
-1,0.648,-0.084952,3.92168
-1,0.647,-0.0843045,3.9216
-1,0.646,-0.083658,3.92151
-1,0.645,-0.0830125,3.92143
-1,0.644,-0.082368,3.92135
-1,0.643,-0.0817245,3.92127
-1,0.642,-0.081082,3.92118
-1,0.641,-0.0804405,3.9211
-1,0.64,-0.0798,3.92102
-1,0.639,-0.0791605,3.92094
-1,0.638,-0.078522,3.92087
-1,0.637,-0.0778845,3.92079
-1,0.636,-0.077248,3.92071
-1,0.635,-0.0766125,3.92063
-1,0.634,-0.075978,3.92056
-1,0.633,-0.0753445,3.92048
-1,0.632,-0.074712,3.92041
-1,0.631,-0.0740805,3.92033
-1,0.63,-0.07345,3.92026
-1,0.629,-0.0728205,3.92018
-1,0.628,-0.072192,3.92011
-1,0.627,-0.0715645,3.92004
-1,0.626,-0.070938,3.91997
-1,0.625,-0.0703125,3.9199
-1,0.624,-0.069688,3.91983
-1,0.623,-0.0690645,3.91976
-1,0.622,-0.068442,3.91969
-1,0.621,-0.0678205,3.91962
-1,0.62,-0.0672,3.91955
-1,0.619,-0.0665805,3.91949
-1,0.618,-0.065962,3.91942
-1,0.617,-0.0653445,3.91936
-1,0.616,-0.064728,3.91929
-1,0.615,-0.0641125,3.91923
-1,0.614,-0.063498,3.91916
-1,0.613,-0.0628845,3.9191
-1,0.612,-0.062272,3.91904
-1,0.611,-0.0616605,3.91897
-1,0.61,-0.06105,3.91891
-1,0.609,-0.0604405,3.91885
-1,0.608,-0.059832,3.91879
-1,0.607,-0.0592245,3.91873
-1,0.606,-0.058618,3.91867
-1,0.605,-0.0580125,3.91862
-1,0.604,-0.057408,3.91856
-1,0.603,-0.0568045,3.9185
-1,0.602,-0.056202,3.91844
-1,0.601,-0.0556005,3.91839
-1,0.6,-0.055,3.91833
-1,0.599,-0.0544005,3.91828
-1,0.598,-0.053802,3.91822
-1,0.597,-0.0532045,3.91817
-1,0.596,-0.052608,3.91812
-1,0.595,-0.0520125,3.91807
-1,0.594,-0.051418,3.91801
-1,0.593,-0.0508245,3.91796
-1,0.592,-0.050232,3.91791
-1,0.591,-0.0496405,3.91786
-1,0.59,-0.04905,3.91781
-1,0.589,-0.0484605,3.91776
-1,0.588,-0.047872,3.91772
-1,0.587,-0.0472845,3.91767
-1,0.586,-0.046698,3.91762
-1,0.585,-0.0461125,3.91758
-1,0.584,-0.045528,3.91753
-1,0.583,-0.0449445,3.91748
-1,0.582,-0.044362,3.91744
-1,0.581,-0.0437805,3.9174
-1,0.58,-0.0432,3.91735
-1,0.579,-0.0426205,3.91731
-1,0.578,-0.042042,3.91727
-1,0.577,-0.0414645,3.91723
-1,0.576,-0.040888,3.91718
-1,0.575,-0.0403125,3.91714
-1,0.574,-0.039738,3.9171
-1,0.573,-0.0391645,3.91706
-1,0.572,-0.038592,3.91702
-1,0.571,-0.0380205,3.91699
-1,0.57,-0.03745,3.91695
-1,0.569,-0.0368805,3.91691
-1,0.568,-0.036312,3.91688
-1,0.567,-0.0357445,3.91684
-1,0.566,-0.035178,3.9168
-1,0.565,-0.0346125,3.91677
-1,0.564,-0.034048,3.91673
-1,0.563,-0.0334845,3.9167
-1,0.562,-0.032922,3.91667
-1,0.561,-0.0323605,3.91663
-1,0.56,-0.0318,3.9166
-1,0.559,-0.0312405,3.91657
-1,0.558,-0.030682,3.91654
-1,0.557,-0.0301245,3.91651
-1,0.556,-0.029568,3.91648
-1,0.555,-0.0290125,3.91645
-1,0.554,-0.028458,3.91642
-1,0.553,-0.0279045,3.91639
-1,0.552,-0.027352,3.91637
-1,0.551,-0.0268005,3.91634
-1,0.55,-0.02625,3.91631
-1,0.549,-0.0257005,3.91629
-1,0.548,-0.025152,3.91626
